sample,race,shannon_wiener_index,normalized_shannon_wiener_index,simpson_index,inverse_simpson_index,gini_simpson_index,D50_index,chao1,chao1_SD,gini_coefficient
SRR11241378,Asian,12272.704274611195,0.7497665400696482,0.00924020250990333,108.22273634460224,0.9907597974900967,1.2501935284099706,464705.8763044589,1218.5469218098037,0.6626895373373236
SRR11241379,Asian,13579.519002476449,0.7638112004827046,0.007980108652119438,125.31157702149956,0.9920198913478806,1.65750361086521,486282.28273428034,1563.312520808867,0.6362249617325133
SRR11241380,Asian,111894.30986723126,0.8927323533830804,0.0012985622683975258,770.0824398925723,0.9987014377316025,12.466562023301572,986812.2296539746,2709.059592008838,0.47452083711567844
SRR11241381,Asian,127465.8177693542,0.8914536737162438,0.0012340195780236789,810.3599147118325,0.9987659804219763,11.79666584175122,1055204.0623149741,2448.0436280258123,0.48962871799897145
SRR11241382,Asian,146771.5089136628,0.8965222423310601,0.0009535279039467639,1048.737006920178,0.9990464720960532,12.01991698380235,1192701.4881034032,2750.715727171562,0.4811704795785551
SRR11241383,Asian,110730.70383487921,0.8925529354790435,0.001317390952568975,759.0761102844623,0.998682609047431,12.295782346313876,823166.6415410385,1934.682776891109,0.491566882068529
SRR11241384,Asian,125475.56514284808,0.8906554990614474,0.0012830640416932413,779.3843233891228,0.9987169359583068,11.812716396744337,878814.3431979201,1696.084646011618,0.5096740206916505
SRR11241385,Asian,12804.168607169437,0.7514233868820271,0.008841140934273196,113.10757372088052,0.9911588590657268,1.2229937875881687,545238.6659193519,1629.1062431350695,0.6519499647375889
SRR11241386,Asian,112198.30580511493,0.9022074424949267,0.0009767382007956282,1023.8157975037972,0.9990232617992044,14.052782277527728,888120.4526813475,2666.678264517159,0.4568669671510487
SRR11241387,Asian,39609.98631407255,0.9821896950701378,6.511079927427082e-05,15358.435330944552,0.9999348892007257,41.074740066259665,422227.80152091256,8144.060184346831,0.14592381572496388
SRR5812610,European,10202.324919406205,0.8738762429518533,0.003132882112388599,319.1949023698091,0.9968671178876114,11.231246766683912,45221.14174454829,365.4182277808256,0.6633616187434397
SRR5812611,European,15811.315223110085,0.8869526026263965,0.0010384672932144884,962.9576266235442,0.9989615327067856,10.359836957524116,58813.984112573766,181.6393830075931,0.6920137187508927
SRR5812612,European,1396.8944317525338,0.7388080181136926,0.026479601439873494,37.764918866723605,0.9735203985601265,3.0816044260027664,18937.68362369338,57.27601308093781,0.6813431013860392
SRR5812613,European,74912.14325807059,0.8854134042449155,0.001192777425640525,838.3793811850497,0.9988072225743595,9.789119938035244,372270.1266087231,504.8266014816085,0.6005476975546503
SRR5812614,European,25812.534141433815,0.7937212243932654,0.002804169129359483,356.61187106371716,0.9971958308706406,3.2646494579189174,377126.276365761,226.755484108167,0.6657961779528321
SRR5812615,European,1349.738961288472,0.7991487693339581,0.006441106072889451,155.25283836094388,0.9935588939271105,3.946731234866828,8873.279749478079,58.15843076030597,0.7644642483625398
SRR5812616,European,21980.228133604225,0.9335799765086125,0.00017816559039398255,5612.756075899236,0.999821834409606,14.26752446052808,46030.69359331476,81.51504649282624,0.5445966335263411
SRR5812617,European,1439.22654320505,0.6843554739339428,0.0064308236869872895,155.5010755501648,0.9935691763130127,0.313213227795853,44346.40583828468,117.59567263450776,0.8962428259810957
